no,ticker,title,date,source,high_priority_hits,medium_priority_hits,fundamental_hits,red_flags,urgency_score,total_score,category,action,key_findings
1554,-,"Pantau, Begini Rincian Right Issue INET",2025-12-23,,5,1,0,0,5,22,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, right issue, HMETD"
3284,-,"SMKM Siap Caplok LSO Holdings, Nilai Akuisisi Capai Rp172,25 Miliar",2026-01-31,IDX Channel,4,0,0,0,10,22,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2002,-,SDMU Gandakan Jumlah Saham Beredar buat Tutup Utang,2026-01-08,,3,1,0,0,10,21,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
3070,-,"TBIG Incar Dana Rp1,27 Triliun dari Obligasi Berkelanjutan dan Sukuk Ijarah",2026-01-28,,3,1,0,0,10,21,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang, penerbitan obligasi"
2277,-,Asuransi Harta (AHAP) Bakal Tambah Modal demi Penuhi Aturan OJK,2026-01-15,IDX Channel,3,1,0,0,10,21,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, penambahan modal, private placement"
2246,-,"Intip Tujuan APII Amankan Kredit Rp86,5 Miliar dari NISP",2026-01-14,,3,1,0,0,10,21,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"penambahan modal, merger, akuisisi"
3037,-,"Produsen Bir Bintang (MLBI) Ambil Alih 99,9 Persen Saham Karya Distilindo",2026-01-28,IDX Channel,3,1,0,0,10,21,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, free float, akuisisi"
3147,-,Saiko Consultancy Batal Akuisisi Saham Soraya Berjaya (SPRE),2026-01-29,IDX Channel,3,1,0,0,10,21,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi, pengambilalihan"
3178,-,"Respons MSCI, OJK Siapkan Aturan Baru Free Float Saham",2026-01-29,,2,2,0,0,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, penggabungan"
2561,-,"Hashim Djojohadikusumo dan Northstar Dikabarkan Mau Akuisisi UDNG, Ini Klarifika...",2026-01-20,IDX Channel,4,0,0,1,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, penjualan saham, akuisisi"
2480,-,"TOBA Terbitkan Obligasi Rp500 Miliar, Kupon hingga 8,65 Persen",2026-01-18,IDX Channel,4,0,0,1,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang, penerbitan obligasi"
1566,-,TRUE Geber Private Placement: ini Tujuan dan Dampaknya,2025-12-24,,5,0,0,0,5,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
2538,-,"Trump Borong Obligasi Rp1,67 Triliun, Termasuk Netflix dan Warner Bros",2026-01-19,IDX Channel,4,0,0,1,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, bond, merger"
962,-,"DER Bisa Turun 1,0 Kali usai Aksi Korporasi CBRE ini",2025-11-10,,6,1,0,0,0,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"right issue, HMETD, hak memesan efek"
2735,-,Tjokro Group Bangun Holding Strategis Bernilai Rp900 Miliar,2026-01-22,,2,2,0,0,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
961,-,"CBRE Amankan Utang USD49 Juta dan Kontrak Kapal Rp4,3 Triliun, Apa Maknanya?",2025-11-10,,6,1,0,0,0,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"right issue, HMETD, hak memesan efek"
1448,-,Rencana Risht Issue Rp380 per Saham CSIS Tersandung Respons Pasar?,2025-12-16,,5,1,0,1,5,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, right issue, HMETD"
2446,-,"BEI Catat 7 Perusahaan Masuk Pipeline IPO 2026, Mayoritas Beraset Besar",2026-01-16,,2,2,0,0,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, surat utang"
2431,-,"BEI Catat 7 Perusahaan Masuk Pipeline IPO 2026, Mayoritas Beraset Besar",2026-01-16,,2,2,0,0,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, surat utang"
1575,-,"Dana Rights Issue PANI Mulai Bekerja, Mengalir ke Sini",2025-12-25,,5,0,0,0,5,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
3163,-,"Respons MSCI, OJK Siapkan Aturan Baru Free Float Saham",2026-01-29,,2,2,0,0,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, penggabungan"
2471,-,Pefindo Downgrade Peringkat PTPP Jadi idBBB+ dengan Outlook Negatif,2026-01-18,IDX Channel,4,0,0,1,10,20,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang, merger"
1597,-,"Suntik Anak Usaha, PANI Gerak Cepat di 2026",2025-12-26,,4,1,0,0,5,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, right issue, tambahan modal"
2834,-,Dapen Bank Jateng Terus Lego Saham Adbinsure (YOII) Jelang Rights Issue,2026-01-25,IDX Channel,3,0,0,0,10,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, divestasi, akuisisi"
2093,-,"Saham DADA Bergejolak, BEI Minta Penjelasan",2026-01-10,,1,3,0,0,10,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
1358,-,"Tender Offer SMKM Rp93 per Saham: Dianggap Murah, Pasar Ogah Jual?",2025-12-09,,2,4,0,0,5,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
1271,-,"INET Geber Right Issue Rp3,2 Triliun, Ekspansi Besar Dimulai",2025-12-02,,4,1,0,0,5,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, right issue, HMETD"
1564,-,"Simak, Ini yang Perlu Dipahami dari Right Issue INET",2025-12-24,,4,1,0,0,5,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"right issue, HMETD, hak memesan efek"
3120,-,Saiko Consultancy Batal Akuisisi Saham Soraya Berjaya (SPRE),2026-01-29,IDX Channel,3,0,0,0,10,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi, pengambilalihan"
2796,-,"Obligasi Berkelanjutan TOBA Tahap II-2026, Targetkan Dana Rp500 Miliar",2026-01-23,,3,0,0,0,10,19,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang, penerbitan obligasi"
1581,-,BEI Kantongi Sembilan Calon IPO hingga Akhir 2025,2025-12-25,,3,2,0,0,5,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, obligasi, penerbitan obligasi"
2320,-,Asuransi Harta (AHAP) Bakal Tambah Modal demi Penuhi Aturan OJK,2026-01-15,IDX Channel,4,1,0,3,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, penambahan modal, private placement"
3287,-,"Tambah Armada Crew Boat, ELPI Akuisisi Kapal Senilai Rp38 Miliar",2026-01-31,IDX Channel,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
3014,-,Dirut BEI Sebut IHSG Turun 8 Persen Akibat Investor Panic Selling Pasca Pengumum...,2026-01-28,IDX Channel,1,2,1,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
2080,-,"Emiten Hermanto Tanoko (RISE) Bagikan 5,2 Miliar Saham Bonus, Catat Jadwalnya",2026-01-10,IDX Channel,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, tambahan modal"
2029,-,"Aksi Lego CGS, Andhesti, dan Chengdong di Tengah Reli BRMS, BUMI, DEWA",2026-01-09,IDX Channel,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, akuisisi"
2289,-,Indospring (INDS) Perkuat Produktivitas Melalui Aksi Korporasi,2026-01-15,IDX Channel,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"right issue, akuisisi"
1670,-,Chandra Asri Pacific (TPIA) Rampungkan Akuisisi Jaringan SPBU Esso di Singapura,2026-01-01,IDX Channel,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2736,-,"INET Siapkan Obligasi dan Sukuk Rp1 Triliun, Fokus Perluas Jaringan Internet hin...",2026-01-22,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, penerbitan obligasi"
1897,-,"Progress MEJA Akuisisi Tambang Batu Bara Rp1,6 Triliun: Belum 'Ngefek'",2026-01-06,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2992,-,"Produsen Bir Bintang (MLBI) Ambil Alih 99,9 Persen Saham Karya Distilindo",2026-01-28,IDX Channel,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2674,-,"MEJA Siap Akuisisi Rp1,6 Triliun, Ekspansi ke Sektor Energi",2026-01-21,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
2607,-,"ASLI Punya Pengendali Baru, Harga Bergerak Tipis",2026-01-20,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
1745,-,"TPIA Ngegas, Ambil Alih SPBU Esso Singapura: Segini Nilainya",2026-01-02,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
2898,-,"Rekomendasi Saham Uptrend Pekan ini: AADI, PGAS, hingga EMAS Layak Dicermati",2026-01-26,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, obligasi"
2481,-,"Dana Asing Mulai Balik Arah, Pasar Saham RI Lebih Prospektif di 2026",2026-01-18,IDX Channel,2,2,0,1,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2475,-,"Rombak Pengurus hingga Pangkas Utang, Analis Cermati Prospek Eagle High (BWPT)",2026-01-18,IDX Channel,2,2,0,1,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2472,-,"Ngegas Ekspansi, RATU Habiskan Seluruh Dana IPO Rp212 Miliar",2026-01-18,IDX Channel,2,2,0,1,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
1322,-,"Pipeline IPO, Obligasi, Rights Issue BEI Didominasi Sektor Keuangan",2025-12-07,,3,2,0,0,5,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, obligasi, penerbitan obligasi"
2827,-,"Obligasi BUMI Segera Terbit, Seperti ini Targetnya",2026-01-24,,2,1,0,0,10,18,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, penerbitan obligasi"
2813,-,"Mau Dual Listing, Merdeka Gold (EMAS) Dikabarkan Jajaki IPO di Hong Kong",2026-01-24,IDX Channel,1,2,0,0,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,merger
2560,-,"Saham BLUE Masuk Radar UMA, Proses Akuisisi Dragonmine Masih Berjalan",2026-01-20,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi, pengambilalihan"
511,-,ADMF Siapkan Obligasi Jumbo: Sinyal Optimisme atau Strategi Bertahan?,2025-10-07,,5,1,0,0,0,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang, merger"
157,-,"IMAS Pastikan Serap Seluruh Rights Issue IMJS Senilai 2,7 Miliar HMETD",2025-09-16,,5,1,0,0,0,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
243,-,"Cahayasakti Investindo Sukses (CSIS) Rights Issue 1,04 Miliar Saham",2025-09-22,,5,1,0,0,0,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
3087,-,Rumor CIMB Niaga (BNGA) Jajaki IPO Unit Syariah pada 2028,2026-01-29,IDX Channel,1,2,0,0,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,merger
2096,-,"Agung Podomoro (APLN) Jual Aset Lagi, Kondisi Kas Bermasalah?",2026-01-10,,1,2,0,0,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,divestasi
2319,-,"Agro Yasa (AYLS) Punya Pemilik Baru, Harga Sahamnya Terbang",2026-01-15,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi, pengambilalihan"
2315,-,"Astra (ASII) Bakal Kembali Buyback Saham, Siapkan Dana Rp2 Triliun",2026-01-15,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, free float, akuisisi"
2381,-,"Wall Street Lesu, Dunia Berbondong ke Aset Aman",2026-01-15,,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"bond, merger, akuisisi"
372,-,Fortune Street Masuk BULL Lewat Private Placement Rp253 Miliar,2025-09-29,,5,1,0,0,0,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
2462,-,"Kinerja Melambat di 2025, RMK Energy (RMKE) Bidik Pemulihan Lewat Ekspansi Jalur...",2026-01-17,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, merger, akuisisi"
2459,-,"Pengendali DADA Jual 600 Juta Saham, Raup Dana Rp40 Miliar",2026-01-17,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, penjualan saham, akuisisi"
2460,-,"Perkuat Bisnis CPO, Eagle High Plantations (BWPT) Suntik Anak Usaha Rp180 Miliar",2026-01-17,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, obligasi, akuisisi"
2454,-,"BUVA Realisasikan Dana Rights Issue Rp492,83 Miliar",2026-01-17,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, akuisisi"
2912,-,"Berkat Transformasi Digital, Kinerja Operasional IPCC Tumbuh 15 Persen Sepanjang...",2026-01-27,IDX Channel,1,2,0,0,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,merger
757,-,"BUVA Danai Proyek Bali dari Rights Issue, ini Rinciannya",2025-10-27,,5,1,0,0,0,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2521,-,Saratoga (SRTG) Kembali Lepas Saham Nusa Raya Cipta (NRCA),2026-01-19,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, divestasi, akuisisi"
2496,-,"Saiko Consultancy Bakal Caplok 27,83 Persen Saham Soraya Berjaya (SPRE)",2026-01-19,IDX Channel,3,0,0,1,10,17,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi, pengambilalihan"
2532,-,"IHSG Berpotensi Konsolidasi di Level 9.000, Pantau JPFA hingga AADI",2026-01-19,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
1813,-,MEJA Siap Melangkah ke Bisnis Batu Bara Lewat Akuisisi Trimata Coal Perkasa,2026-01-05,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"merger, akuisisi"
3151,-,"Ada Badai MSCI, Saham Apa Saja yang Bisa Tahan Banting?",2026-01-29,IDX Channel,1,1,1,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,free float
2785,-,"Investor Baru Negoisasi Akuisisi 59,24 Persen Saham DPUM",2026-01-23,,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
2871,-,Indonet (EDGE) Kembali Setor Modal Anak Usaha Rp283 Miliar untuk Bangun Data Cen...,2026-01-26,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"investor strategis, akuisisi"
2585,-,"Bakrie & Brothers (BNBR) Siap Gelar RUPSLB Akhir Februari 2026, Minta Restu Righ...",2026-01-20,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2349,-,"FORE Pakai 30,20 Persen Dana IPO, Paling Banyak Buat Ekspansi Outlet Kopi Baru",2026-01-15,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2776,-,Rama Indonesia Berencana Caplok 59 Persen Saham Dua Putra (DPUM),2026-01-23,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
1788,-,"Ini Pemilik Trimata Coal Perkasa, Perusahaan Tambang Batu Bara yang Mau Diakuisi...",2026-01-05,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"merger, akuisisi"
2856,-,Pengendali Baru BOGA Tawarkan Harga MTO Rp529 per Saham,2026-01-26,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
482,-,"Saham Overvalued SDMU Bergerak tak Sesuai Fundamental, Take Profit Sekarang?",2025-10-06,,4,2,0,0,0,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
2606,-,"Dolar Tersandung Isu Powell, Politik AS Kembali Ganggu Irama Pasar",2026-01-20,,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang"
1805,-,"IHSG Diproyeksi Fluktuatif, Pasar Cermati Saham Konglomerasi",2026-01-05,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek"
2863,-,"Tutup Defisit APBN, Kemenkeu Bidik Rp25 Triliun dari Penjualan ORI029",2026-01-26,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, surat utang"
2161,-,"Pengendali Lepas Saham BCIC di Rp310, Siapa yang Beli?",2026-01-12,,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"divestasi, free float"
2891,-,"Punya Pengendali Baru, Saham ASLI Malah Anjlok",2026-01-26,,2,2,0,2,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"akuisisi, pengambilalihan"
1269,-,ENRG Terbitkan Obligasi Rp4 Triliun: ini Aksi Korporasinya!,2025-12-02,,3,1,0,0,5,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, penerbitan obligasi, akuisisi"
2504,-,"Pengendali Sidomuncul (SIDO) Dikabarkan Divestasi Sebagian Saham, Ini Jawaban Ma...",2026-01-19,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"divestasi, akuisisi"
2501,-,"Gejolak Global Meningkat, Pasar Modal RI Tetap Resilien",2026-01-19,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, akuisisi"
918,-,"Pengendali Bawa SMKM ke ‘Blue Economy’, Prospek atau Risiko?",2025-11-06,,4,2,0,0,0,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, hak memesan efek, penambahan modal"
2478,-,"Dana IPO ALII Hampir Habis, Bayar Utang Anak Usaha hingga Tambah Armada Kapal",2026-01-18,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2028,-,Rahayu Saraswati Resmi Kuasai 5 Persen Saham Trinland (TRIN),2026-01-09,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"investor strategis, akuisisi"
1864,-,"Techno9 (NINE) Siap Injeksi Aset Tambang Mongolia, Begini Progresnya",2026-01-06,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2503,-,KIM Indonesia Optimistis Terhadap Pertumbuhan Pasar Modal Indonesia,2026-01-19,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"free float, akuisisi"
2452,-,"DEWI Pakai Dana IPO Rp54,45 Miliar, Tersisa Rp9,77 Miliar",2026-01-17,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2245,-,"Pantau, SOTS Arahkan Dana Rights Issue untuk Investasi Baru",2026-01-14,,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, hak memesan efek"
2239,-,"Tjokro Group Mulai Tender Offer Saham GPSO, Patok Harga Rp436 per Saham",2026-01-14,IDX Channel,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2453,-,"Dana Rights Issue GIAA Rp7,77 Triliun Sudah Habis Dipakai, Ini Rinciannya",2026-01-17,IDX Channel,2,1,0,1,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, akuisisi"
2222,-,"Bisnis Harian ICBP Terlihat Stabil, tapi Fluktuasi Kurs Bisa Menggerus Laba",2026-01-13,,2,0,0,0,10,16,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"obligasi, akuisisi"
