iter	Passed	Remaining
575	27101	19949
576	27148	19902
577	27193	19854
578	27234	19802
579	27284	19757
580	27324	19705
581	27375	19661
582	27431	19621
583	27482	19576
584	27530	19530
585	27573	19480
586	27623	19435
587	27668	19386
588	27715	19339
589	27766	19295
590	27822	19254
591	27865	19204
592	27912	19157
593	27955	19107
594	27997	19057
595	28049	19013
596	28094	18965
597	28141	18917
598	28189	18871
599	28227	18818
600	28270	18768
601	28320	18723
602	28364	18674
603	28413	18628
604	28458	18580
605	28501	18530
606	28551	18485
607	28594	18436
608	28648	18393
609	28691	18343
610	28737	18296
611	28782	18247
612	28826	18198
613	28863	18145
614	28905	18095
615	28943	18042
616	28983	17991
617	29021	17938
618	29065	17889
619	29107	17840
620	29155	17793
621	29199	17745
622	29244	17696
623	29288	17648
624	29332	17599
625	29376	17550
626	29421	17502
627	29462	17452
628	29503	17401
629	29543	17351
630	29585	17301
631	29625	17250
632	29669	17201
633	29708	17150
634	29760	17106
635	29810	17061
636	29870	17022
637	29918	16975
638	29961	16926
639	30008	16879
640	30054	16832
641	30101	16785
642	30146	16737
643	30185	16686
644	30226	16636
645	30268	16587
646	30317	16541
647	30361	16492
648	30409	16446
649	30455	16399
650	30500	16351
651	30542	16301
652	30586	16253
653	30629	16204
654	30674	16157
655	30719	16109
656	30763	16060
657	30818	16018
658	30865	15971
659	30913	15925
660	30960	15878
661	31003	15829
662	31045	15780
663	31084	15729
664	31134	15684
665	31181	15637
666	31228	15590
667	31273	15543
668	31317	15495
669	31357	15444
670	31393	15392
671	31434	15342
672	31471	15291
673	31519	15245
674	31565	15198
675	31608	15149
676	31654	15102
677	31701	15055
678	31744	15007
679	31787	14958
680	31834	14911
681	31879	14864
682	31917	14813
683	31962	14766
684	32007	14718
685	32053	14671
686	32099	14624
687	32145	14577
688	32196	14532
689	32235	14482
690	32274	14432
691	32317	14384
692	32366	14338
693	32444	14305
694	32496	14261
695	32540	14213
696	32579	14162
697	32621	14114
698	32665	14066
699	32707	14017
700	32748	13968
701	32796	13922
702	32837	13873
703	32883	13826
704	32922	13775
705	33037	13758
706	33087	13712
707	33129	13663
708	33170	13614
709	33321	13610
710	33386	13570
711	33429	13522
712	33470	13472
713	33514	13424
714	33563	13378
715	33618	13334
716	33671	13289
717	33720	13243
718	33771	13198
719	33818	13151
720	33864	13104
721	33910	13056
722	33958	13010
723	34006	12963
724	34055	12917
725	34107	12872
726	34153	12825
727	34199	12777
728	34244	12729
729	34291	12683
730	34343	12638
731	34389	12590
732	34434	12542
733	34478	12494
734	34534	12451
735	34584	12405
736	34633	12358
737	34680	12312
738	34726	12264
739	34765	12214
740	34811	12167
741	34860	12121
742	34905	12073
743	34945	12024
744	34991	11977
745	35032	11927
746	35072	11878
747	35121	11832
748	35164	11784
749	35203	11734
750	35245	11685
751	35286	11636
752	35331	11589
753	35369	11539
754	35412	11491
755	35452	11442
756	35493	11393
757	35535	11345
758	35576	11296
759	35617	11247
760	35661	11199
761	35700	11150
762	35741	11101
763	35784	11053
764	35831	11007
765	35879	10960
766	35927	10913
767	35977	10868
768	36022	10820
769	36080	10777
770	36128	10730
771	36174	10683
772	36217	10635
773	36261	10587
774	36302	10539
775	36346	10491
776	36384	10442
777	36426	10394
778	36466	10345
779	36522	10301
780	36566	10253
781	36610	10205
782	36654	10158
783	36696	10110
784	36747	10064
785	36788	10016
786	36830	9968
787	36868	9918
788	36912	9871
789	36953	9823
790	36997	9775
791	37043	9728
792	37088	9681
793	37130	9633
794	37181	9587
795	37224	9539
796	37275	9494
797	37328	9449
798	37374	9401
799	37424	9356
800	37473	9309
801	37528	9265
802	37575	9218
