Nama Waran,Nama Penerbit,Tipe,Bid Dasar (Rp),Harga Pelaksanaan (Rp),Rasio Pelaksanaan,Tanggal Kedaluwarsa,Sensitivitas Waran (Tick),Efek Pengungkit (x),Volatilitas Tersirat (%),Jarak Waktu Kedaluwarsa (hari),Delta (%),Premi (%),Theta (Rp),Nilai Intrinsik,Volume Bid ('00),Harga Bid (Rp),Harga Ask (Rp),Volume Ask ('00),Volume Transaksi ('00),Perubahan Harga (%)
CPINZPCN6A,Maybank,CALL,4440,5500,18.0000,31 Jul 26,4.2,3.9,64.7,168,42.9,34.8,-0.1449,24% OTM,0,27,0,0,0,-3.6
CTRADRCJ6A,RHB,CALL,835,1100,6.0000,23 Apr 26,5.1,6.6,68.7,69,23.6,35.3,-0.0993,32% OTM,0,5,0,0,1220,0
CTRAHDCK6A,KGI,CALL,835,1094,3.0000,11 May 26,2.8,7.4,55.0,87,21.3,33.9,-0.1368,31% OTM,33000,8,35,33000,22,-11.1
CTRAZPCG6A,Maybank,CALL,835,1060,4.0000,27 Feb 26,10.8,15.4,78.8,14,7.4,27.4,-0.1642,27% OTM,0,1,0,0,0,-50.0
DSNGBQCQ6A,KISI,CALL,1395,1960,10.0000,31 Aug 26,3.6,2.1,122.7,199,55.1,66.3,-0.1351,41% OTM,0,36,0,0,0,0
DSNGDRCK6A,RHB,CALL,1395,1850,6.0000,25 May 26,2.9,3.4,101.3,101,41.3,44.7,-0.2546,33% OTM,3531,28,110,16903,2,0
DSNGDRCX6A,RHB,CALL,1395,2030,2.5000,26 Nov 26,1.1,2.8,75.1,286,44.7,61.3,-0.2940,46% OTM,0,88,0,0,0,-1.1
DSNGHDCK6A,KGI,CALL,1395,1732,4.0000,25 May 26,2.2,4.8,70.4,101,36.9,31.9,-0.2648,24% OTM,3598,27,142,8611,0,-3.6
DSNGZPCM6A,Maybank,CALL,1395,1820,10.0000,30 Jun 26,4.4,3.1,93.4,137,45.1,44.8,-0.1253,30% OTM,5000,20,67,5000,0,0
DSSADRCM6A,RHB,CALL,95075,146000,140.0000,10 Jun 26,13.9,2.9,120.3,117,40.2,67.4,-0.8060,54% OTM,0,94,0,0,0,-6.9
ELSABQCQ6A,KISI,CALL,755,980,3.0000,31 Aug 26,1.0,2.1,122.8,199,58.6,58.0,-0.2413,30% OTM,0,71,0,0,0,-5.3
ELSADRCJ6A,RHB,CALL,755,510,3.0000,23 Apr 26,0.6,2.8,62.6,69,94.9,1.7,-0.0875,32% ITM,0,86,0,0,0,-5.5
ELSAHDCK6A,KGI,CALL,755,541,2.5000,25 May 26,0.6,2.7,67.6,101,88.1,4.1,-0.1448,28% ITM,45000,98,37,45000,0,-4.9
ELSAZPCG6A,Maybank,CALL,755,490,3.0000,27 Feb 26,0.6,2.7,135.8,14,96.2,0.7,-0.2341,35% ITM,0,90,0,0,36,-5.3
ELSAZPCN6A,Maybank,CALL,755,565,5.0000,31 Jul 26,1.2,2.4,70.0,168,82.4,8.6,-0.0724,25% ITM,0,51,0,0,0,-5.6
ELSAZPCQ6A,Maybank,CALL,755,600,6.0000,31 Aug 26,1.4,3.0,47.3,199,83.3,7.3,-0.0439,21% ITM,0,35,0,0,0,-5.4
EMTKBQCH6A,KISI,CALL,920,1713,4.9788,31 Mar 26,8.3,5.5,123.3,46,12.0,88.4,-0.1798,86% OTM,10000,4,34,10000,427,0
EMTKBQCN6A,KISI,CALL,920,1980,5.0000,31 Jul 26,3.9,3.2,106.3,168,25.8,123.4,-0.1352,115% OTM,0,15,0,0,0,0
EMTKDRCH6A,RHB,CALL,920,1700,2.5000,16 Mar 26,6.7,6.9,128.0,31,7.5,85.9,-0.3183,85% OTM,0,4,0,0,0,0
EMTKDRCK6A,RHB,CALL,920,1250,7.0000,25 May 26,3.5,3.5,101.6,101,39.7,47.3,-0.1427,36% OTM,13687,15,59,50000,715,+7.1
EMTKHDCK6A,KGI,CALL,920,1349,3.9831,25 May 26,2.9,4.5,83.6,101,27.5,52.7,-0.1796,47% OTM,6867,14,77,16108,59,+7.7
EMTKHDCQ6A,KGI,CALL,920,1503,6.0000,13 Aug 26,3.4,3.2,90.8,181,35.1,74.5,-0.1091,63% OTM,0,17,0,0,0,+6.3
EMTKYUCN6A,CGS,CALL,920,1280,7.0000,11 May 26,3.0,2.7,145.3,87,46.7,56.6,-0.2219,39% OTM,0,23,0,0,0,0
EMTKZPCH6A,Maybank,CALL,920,500,5.0000,31 Mar 26,1.0,2.1,103.8,46,96.9,1.1,-0.0729,46% ITM,0,86,0,0,32,+2.4
EMTKZPCM6A,Maybank,CALL,920,1400,8.0000,30 Jun 26,4.2,3.1,102.5,137,38.1,64.3,-0.1074,52% OTM,5000,14,49,5000,396,0
ENRGBQCJ6A,KISI,CALL,1295,1415,5.0000,30 Apr 26,1.8,2.9,120.2,76,55.8,28.2,-0.3913,9% OTM,0,49,0,0,0,+19.5
ENRGDRCJ6A,RHB,CALL,1295,490,3.0000,23 Apr 26,1.2,1.6,113.4,69,98.8,0.8,-0.0848,62% ITM,0,272,0,0,0,+10.6
ENRGDRCN6A,RHB,CALL,1295,2100,3.0000,2 Jul 26,1.8,3.3,100.0,139,33.6,72.4,-0.3731,62% OTM,0,44,0,0,0,+18.9
ENRGHDCK6A,KGI,CALL,1295,733,4.0000,11 May 26,0.9,2.0,102.0,87,92.4,3.2,-0.1670,43% ITM,27000,151,95,27000,0,+12.7
ENRGYUCN6A,CGS,CALL,1295,850,5.0000,11 May 26,1.2,1.8,153.0,87,83.3,11.2,-0.3014,34% ITM,0,118,0,0,0,+11.3
ENRGZPCG6A,Maybank,CALL,1295,360,1.5000,27 Feb 26,1.5,1.3,384.7,14,98.1,0.8,-1.1153,72% ITM,0,630,0,0,0,+8.6
ENRGZPCK6A,Maybank,CALL,1295,700,8.0000,25 May 26,1.7,1.9,102.6,101,92.7,3.5,-0.0763,46% ITM,50000,80,52,50000,9,+11.1
ENRGZPCQ6A,Maybank,CALL,1295,1400,8.0000,31 Aug 26,2.6,2.3,98.2,199,62.5,35.3,-0.1251,8% OTM,0,44,0,0,0,+12.8
ERAABQCK6A,KISI,CALL,424,600,3.0000,26 May 26,4.2,3.6,99.1,102,36.1,51.4,-0.1445,42% OTM,0,14,0,0,0,0
ERAADRCJ6A,RHB,CALL,424,570,6.0000,23 Apr 26,9.3,4.5,95.7,69,32.1,41.5,-0.0804,34% OTM,0,5,0,0,15792,0
ERAAHDCN6A,KGI,CALL,424,490,3.0000,14 Jul 26,2.7,2.6,99.8,151,56.0,36.8,-0.1300,16% OTM,0,30,0,0,0,0
ERAAZPCH6A,Maybank,CALL,424,550,5.0000,31 Mar 26,7.5,4.7,111.1,46,33.2,36.8,-0.1371,30% OTM,0,6,0,0,23,0
ESSABQCK6A,KISI,CALL,615,855,5.0000,26 May 26,3.1,4.3,83.4,102,31.8,46.3,-0.1018,39% OTM,0,9,0,0,0,0
ESSADRCN6A,RHB,CALL,615,850,4.0000,2 Jul 26,2.0,3.3,91.5,139,40.8,50.6,-0.1315,38% OTM,37000,19,31,35000,53,0
ESSAHDCH6A,KGI,CALL,615,600,5.0000,19 Mar 26,1.6,3.3,143.4,34,61.5,16.3,-0.3149,2% ITM,0,23,0,0,228,-4.2
